High,mean_2m,min_2m,max_2m,dewpoint_2m,total_precip,surf_press,mean_sea_press,u_wind,v_wind
3179.78,297.4450572,291.7560255,304.1714372,285.8691885,0.001814984,92535.93892,101127.8518,0.605397619,0.851195574
3171.8,297.5386547,291.6100228,303.8559627,285.8523987,0.001872792,92568.75621,101162.9668,0.766132491,1.338465123
3184.15,297.5892559,291.7267518,303.8180605,285.9618381,0.002357615,92704.8582,101292.2751,0.198153277,1.309420853
3182.59,297.5936383,291.408881,303.9282131,286.1225826,0.002049785,92761.00185,101362.9453,-0.047700483,0.602890045
3165.81,296.1881631,290.7136478,302.8436958,285.6229814,0.000960051,92610.61023,101229.5668,0.173688671,1.221172122
3128.44,295.5189708,289.9174444,301.7046235,284.8876524,0.002463783,92441.61556,101078.7936,0.613299101,1.286594372
3111.51,295.6411101,290.982775,301.2788673,285.9930877,0.003496542,92369.53586,101014.9622,0.683677197,1.391023664
3053.89,295.7263138,291.1575894,301.3931346,286.296985,0.003677747,92139.50694,100744.7183,0.602353906,1.597205408
3073.73,296.9085761,290.9037374,303.3106522,285.9088228,0.001626115,92775.66716,101384.937,0.916389236,1.072622184
3086.25,296.4668073,290.3158614,303.0693792,285.1199034,0.001809091,92593.99986,101182.6361,0.713812879,0.954873826
3115.01,296.3164025,290.1606501,302.7534521,284.8979017,0.002035818,92542.49794,101127.2562,0.879141059,0.363904656
3154.9,296.04765,289.9676042,302.5235221,285.2964424,0.002877527,92682.60492,101309.0153,0.756582701,-0.113702613
3120.92,295.8568401,289.9683663,302.2354442,285.2246975,0.003070561,92693.33349,101323.7742,0.724418474,0.344522688
3155.53,294.2757046,288.3763601,300.7738949,283.4134496,0.002052279,92853.38213,101539.1551,0.256152767,0.67419655
3120,294.0621358,288.0063199,300.8009866,282.8112859,0.001917228,92846.7067,101551.6555,0.318280656,0.726724949
3141.16,294.0290856,288.0191658,300.3934301,282.6807161,0.001820412,92843.35098,101526.0471,0.13078606,1.415420633
3153.45,294.2609359,288.5656605,300.2656579,282.5221162,0.001681701,92984.61839,101645.3444,-0.404014599,1.754776263
3079.76,293.6736833,287.5978346,299.9311614,280.8839427,0.001288503,93085.01386,101768.0856,-0.40773968,1.563224339
3088.42,294.9888155,287.9138645,301.904497,280.9435157,0.000662621,93292.95819,101959.9381,-0.222080538,0.706260332
3123.53,294.1951447,287.4645081,301.2327462,281.0598527,0.001369319,93069.04537,101758.3696,1.238550622,0.587004307
3223.27,293.0977268,287.1519281,300.0235741,281.5381043,0.003308446,92654.25351,101384.6025,1.635240215,-0.046889776
3222.71,292.6731404,287.263882,299.7580101,281.8962895,0.00514464,92445.47816,101200.4428,1.069823483,0.185399705
3233.13,292.9586022,287.555771,299.3050593,282.4302436,0.003453204,92314.86105,101029.8248,0.51402768,1.031481518
3211.72,296.1166073,289.772095,302.9271534,284.4859186,0.001783635,92424.73341,101003.1765,0.36045342,1.205423649
3128.91,295.9928909,289.6213442,302.5133187,284.0884181,0.001943288,92430.8302,101029.8873,1.182891397,0.883042446
3130.94,295.9123152,289.6916732,302.2149206,284.1553257,0.001498575,92693.22323,101326.1933,1.349346083,0.658422672
3081.07,294.741936,288.3491431,301.9772632,283.1539658,0.000572745,92900.50792,101563.3179,0.889380585,0.936865597
3062.18,293.4976999,287.4973355,299.943464,281.5248418,0.000756952,92963.04532,101626.6549,0.192750176,1.269255377
3049.17,294.1938478,288.4104823,300.5441427,283.3307786,0.001615772,92974.69881,101638.6659,0.264633901,0.148831071
3068.67,294.0976061,288.4722738,300.4879852,283.8513312,0.003297901,92854.78309,101528.3163,0.183499825,-0.104814635
3036.25,293.7521705,288.0089645,300.000642,283.8048851,0.00253918,92721.2102,101383.0547,0.281202164,0.274202919
3021.72,292.4009513,286.969283,298.8115235,283.5664624,0.00340926,92715.0988,101415.024,0.218619751,0.179792491
2956.76,290.6153158,285.185568,296.6964102,280.732971,0.002996872,92525.90212,101241.1653,0.256457747,1.523171304
2978.5,289.4640006,284.1612801,295.458162,280.0229326,0.002806511,92631.86577,101374.0325,-0.059146332,1.51453856
2980.29,289.6173591,284.8035696,295.202871,280.7020425,0.003011935,92615.021,101337.4557,-0.854653398,1.08423677
2964.21,290.2413504,285.0998831,295.9790977,280.7090348,0.003241038,92485.72312,101171.146,-0.710752638,0.875748958
2968.09,290.7004,285.5504663,296.5968394,281.4336741,0.003973182,92463.17076,101132.0634,-0.45502416,1.03601402
2865.01,289.7846509,284.6020203,295.7325109,281.2774446,0.003579033,92616.84891,101362.3858,0.389881196,0.927366345
2852.8,288.6274131,283.3550957,294.8165031,279.7979972,0.002638624,92619.66315,101367.0654,0.699571089,1.662499765
2874.14,286.1695593,281.1243864,292.4737854,277.0183555,0.00192081,92678.77152,101444.7274,0.177461587,1.789952946
2945.82,284.7326805,279.816818,290.8268003,274.4803406,0.002637792,92809.49165,101614.1187,0.220171491,0.837279098
2944.25,285.4174561,280.4190722,291.2622836,274.3422042,0.001103375,93043.54649,101869.6378,0.210768533,-0.046907658
2932.16,285.7303654,279.7739776,292.8594844,273.265298,0.003482681,92933.12997,101779.2769,0.329207257,-1.06839736
2901.92,286.5509134,280.0008932,293.9613834,273.0683827,0.000839384,92964.04646,101785.5905,0.744612839,-0.43082462
2891.11,287.2068043,280.837391,294.2512742,274.5099397,0.001057573,93036.77653,101837.2691,0.63878293,-0.823541648
2898.23,287.3751945,281.6344853,294.1855618,275.6242766,0.002217901,92864.27754,101679.2535,0.295692014,-0.996732875
2844.24,288.409719,282.7113841,295.2749209,277.2420525,0.002478676,92706.79305,101500.7958,0.640168913,-0.136615543
2869.09,289.2680033,282.8911327,296.3549713,277.300917,0.00122894,92516.53965,101222.6369,1.254768062,0.842702897
2930.91,288.8940769,282.7385783,295.9399431,277.3488806,0.003963325,92619.63706,101321.8994,1.045516182,0.697365107
2954.86,288.9039734,282.740647,296.1541923,277.7013372,0.004281,92780.42052,101536.791,0.324168293,-0.447665471
2921.15,289.0039727,282.8820797,296.1952863,277.8653734,0.001528088,92776.8698,101524.1076,1.078320071,0.391600927
2887.72,288.0989966,281.5919777,294.9348163,275.7573672,0.001336057,92807.70364,101544.1352,0.858056448,0.666326462
2842.71,286.6298008,281.2536982,292.8406299,277.35732,0.002450336,92437.54026,101243.9839,0.92883712,-0.797210589
2844.9,286.4385411,281.3043852,292.5607831,276.9132129,0.004568746,92365.278,101144.4807,1.250745054,-0.042328985
2815.1,285.8516331,279.9322455,292.6724247,274.6960296,0.002428508,92538.1248,101329.8252,1.255437316,-0.022005899
2785.54,285.369251,278.8964231,292.5741287,274.6598881,0.000788362,92445.11223,101235.9929,1.643394107,-0.057267044
2868.98,284.8984716,278.8256698,291.5046817,275.1683114,0.002595088,92239.09663,101037.0975,1.595850753,-0.434943892
2879.22,280.7899327,274.7642461,288.4987411,270.6996171,0.001193757,92901.0106,101872.7316,0.778199309,0.505172096
2806.51,279.9430096,274.270732,286.5666861,269.4987969,0.001048711,93005.43308,102001.2771,0.539437239,-0.421206161
2801.88,279.0568768,273.4387828,285.530334,268.7693178,0.001257828,92900.73995,101889.0394,1.339679121,-0.714636256
2851.85,277.8968405,272.7125928,283.9993741,267.8542159,0.00049743,93091.72555,102203.596,1.733087759,-1.16966112
2782.46,278.9692663,274.0801555,284.5484622,270.9291108,0.006294448,92593.17678,101691.3835,1.792896744,-1.251428306
2818.57,284.1769365,279.0215078,291.1736485,274.7368682,0.002213798,92451.94585,101311.8037,1.423976316,-1.018896528
2760.75,286.874085,281.27687,294.004385,277.59973,0.001670676,92403.74575,101210.5541,1.558661971,-0.305956923
2756.89,286.7342396,281.2161398,293.2416201,277.8619125,0.001480586,92422.49127,101212.2916,1.49070135,1.19758844
